,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Shipment_ID,Return_Initiated,Counterfeit_Score
0,0,0,0,SH1,False,0.52
1,1,1,1,SH2,True,0.87
2,2,2,2,SH3,True,0.37
3,3,3,3,SH4,False,0.19
4,4,4,4,SH5,False,0.12
5,5,5,5,SH6,False,0.46
6,6,6,6,SH7,False,0.2
7,7,7,7,SH8,False,0.25
8,8,8,8,SH9,False,0.69
9,9,9,9,SH10,False,0.2
10,10,10,10,SH11,False,0.08
11,11,11,11,SH12,False,0.51
12,12,12,12,SH13,True,0.68
13,13,13,13,SH14,True,0.89
14,14,14,14,SH15,False,0.78
15,15,15,15,SH16,True,0.86
16,16,16,16,SH17,True,0.35
17,17,17,17,SH18,False,0.56
18,18,18,18,SH19,True,0.72
19,19,19,19,SH20,False,0.74
20,20,20,20,SH21,True,0.97
21,21,21,21,SH22,False,0.19
22,22,22,22,SH23,True,0.11
23,23,23,23,SH24,True,0.24
24,24,24,24,SH25,False,0.99
25,25,25,25,SH26,True,0.09
26,26,26,26,SH27,True,0.13
27,27,27,27,SH28,False,0.83
28,28,28,28,SH29,False,0.84
29,29,29,29,SH30,False,0.68
30,30,30,30,SH31,True,0.65
31,31,31,31,SH32,True,0.92
32,32,32,32,SH33,False,0.47
33,33,33,33,SH34,False,0.71
34,34,34,34,SH35,False,0.16
35,35,35,35,SH36,True,0.05
36,36,36,36,SH37,True,0.25
37,37,37,37,SH38,False,0.6
38,38,38,38,SH39,True,0.32
39,39,39,39,SH40,True,0.94
40,40,40,40,SH41,False,0.13
41,41,41,41,SH42,True,0.77
42,42,42,42,SH43,True,0.42
43,43,43,43,SH44,True,0.27
44,44,44,44,SH45,True,0.68
45,45,45,45,SH46,False,0.29
46,46,46,46,SH47,True,0.41
47,47,47,47,SH48,False,0.04
48,48,48,48,SH49,True,0.48
49,49,49,49,SH50,True,0.85
50,50,50,50,SH51,False,0.58
51,51,51,51,SH52,True,0.05
52,52,52,52,SH53,True,0.47
53,53,53,53,SH54,False,0.33
54,54,54,54,SH55,False,0.08
55,55,55,55,SH56,True,0.21
56,56,56,56,SH57,False,0.42
57,57,57,57,SH58,True,0.9
58,58,58,58,SH59,False,0.82
59,59,59,59,SH60,False,0.83
60,60,60,60,SH61,True,0.83
61,61,61,61,SH62,True,0.65
62,62,62,62,SH63,True,0.08
63,63,63,63,SH64,False,0.92
64,64,64,64,SH65,True,0.68
65,65,65,65,SH66,False,0.24
66,66,66,66,SH67,True,0.96
67,67,67,67,SH68,False,0.36
68,68,68,68,SH69,True,0.44
69,69,69,69,SH70,True,0.13
70,70,70,70,SH71,True,0.84
71,71,71,71,SH72,False,0.2
72,72,72,72,SH73,False,0.07
73,73,73,73,SH74,True,0.23
74,74,74,74,SH75,False,0.05
75,75,75,75,SH76,True,0.46
76,76,76,76,SH77,False,0.55
77,77,77,77,SH78,True,0.64
78,78,78,78,SH79,True,0.63
79,79,79,79,SH80,False,0.74
80,80,80,80,SH81,True,0.2
81,81,81,81,SH82,False,0.95
82,82,82,82,SH83,False,0.16
83,83,83,83,SH84,False,0.32
84,84,84,84,SH85,False,0.8
85,85,85,85,SH86,False,0.84
86,86,86,86,SH87,False,0.44
87,87,87,87,SH88,True,0.87
88,88,88,88,SH89,False,0.09
89,89,89,89,SH90,True,0.05
90,90,90,90,SH91,True,0.74
91,91,91,91,SH92,False,0.11
92,92,92,92,SH93,False,0.55
93,93,93,93,SH94,True,0.6
94,94,94,94,SH95,False,0.46
95,95,95,95,SH96,False,0.77
96,96,96,96,SH97,True,0.41
97,97,97,97,SH98,True,0.7
98,98,98,98,SH99,False,0.6
99,99,99,99,SH100,True,0.83
100,100,100,100,SH101,False,0.47
101,101,101,101,SH102,True,0.99
102,102,102,102,SH103,True,0.52
103,103,103,103,SH104,False,0.01
104,104,104,104,SH105,False,0.2
105,105,105,105,SH106,True,0.54
106,106,106,106,SH107,True,0.88
107,107,107,107,SH108,True,0.28
108,108,108,108,SH109,True,0.83
109,109,109,109,SH110,True,0.72
110,110,110,110,SH111,False,0.89
111,111,111,111,SH112,False,0.28
112,112,112,112,SH113,False,0.46
113,113,113,113,SH114,False,0.91
114,114,114,114,SH115,False,0.16
115,115,115,115,SH116,True,0.73
116,116,116,116,SH117,True,1.0
117,117,117,117,SH118,False,0.68
118,118,118,118,SH119,True,0.46
119,119,119,119,SH120,False,0.17
120,120,120,120,SH121,False,0.85
121,121,121,121,SH122,False,1.0
122,122,122,122,SH123,False,0.59
123,123,123,123,SH124,True,0.21
124,124,124,124,SH125,False,0.43
125,125,125,125,SH126,False,0.23
126,126,126,126,SH127,False,0.35
127,127,127,127,SH128,False,0.84
128,128,128,128,SH129,False,0.27
129,129,129,129,SH130,True,0.79
130,130,130,130,SH131,False,0.61
131,131,131,131,SH132,True,0.14
132,132,132,132,SH133,False,0.65
133,133,133,133,SH134,True,0.31
134,134,134,134,SH135,False,0.32
135,135,135,135,SH136,True,0.51
136,136,136,136,SH137,False,0.89
137,137,137,137,SH138,True,0.55
138,138,138,138,SH139,False,0.02
139,139,139,139,SH140,True,0.9
140,140,140,140,SH141,False,0.68
141,141,141,141,SH142,True,0.76
142,142,142,142,SH143,False,0.63
143,143,143,143,SH144,False,0.98
144,144,144,144,SH145,True,0.44
145,145,145,145,SH146,False,0.0
146,146,146,146,SH147,True,0.8
147,147,147,147,SH148,False,0.31
148,148,148,148,SH149,True,0.25
149,149,149,149,SH150,True,0.08
150,150,150,150,SH151,True,0.19
151,151,151,151,SH152,True,0.97
152,152,152,152,SH153,False,0.91
153,153,153,153,SH154,True,0.34
154,154,154,154,SH155,True,0.31
155,155,155,155,SH156,True,0.82
156,156,156,156,SH157,False,0.41
157,157,157,157,SH158,False,0.69
158,158,158,158,SH159,True,0.62
159,159,159,159,SH160,False,0.21
160,160,160,160,SH161,False,0.08
161,161,161,161,SH162,False,0.1
162,162,162,162,SH163,False,0.61
163,163,163,163,SH164,False,0.48
164,164,164,164,SH165,True,0.71
165,165,165,165,SH166,True,0.56
166,166,166,166,SH167,True,0.75
167,167,167,167,SH168,True,0.89
168,168,168,168,SH169,False,0.7
169,169,169,169,SH170,True,0.24
170,170,170,170,SH171,False,0.74
171,171,171,171,SH172,False,0.11
172,172,172,172,SH173,False,0.16
173,173,173,173,SH174,True,0.28
174,174,174,174,SH175,True,0.45
175,175,175,175,SH176,False,0.61
176,176,176,176,SH177,False,0.22
177,177,177,177,SH178,False,0.16
178,178,178,178,SH179,False,0.86
179,179,179,179,SH180,False,0.68
180,180,180,180,SH181,True,0.72
181,181,181,181,SH182,False,0.37
182,182,182,182,SH183,True,0.48
183,183,183,183,SH184,False,0.02
184,184,184,184,SH185,True,0.68
185,185,185,185,SH186,True,0.4
186,186,186,186,SH187,False,0.49
187,187,187,187,SH188,False,0.12
188,188,188,188,SH189,True,0.65
189,189,189,189,SH190,True,0.07
190,190,190,190,SH191,True,0.44
191,191,191,191,SH192,True,0.9
192,192,192,192,SH193,True,0.33
193,193,193,193,SH194,False,0.02
194,194,194,194,SH195,True,0.47
195,195,195,195,SH196,False,0.51
196,196,196,196,SH197,False,0.95
197,197,197,197,SH198,False,0.69
198,198,198,198,SH199,True,0.42
199,199,199,199,SH200,False,0.68
200,200,200,200,SH201,False,0.38
201,201,201,201,SH202,True,0.29
202,202,202,202,SH203,False,0.29
203,203,203,203,SH204,False,0.31
204,204,204,204,SH205,True,0.61
205,205,205,205,SH206,True,0.54
206,206,206,206,SH207,False,0.98
207,207,207,207,SH208,True,0.61
208,208,208,208,SH209,True,0.21
209,209,209,209,SH210,True,0.06
210,210,210,210,SH211,False,0.51
211,211,211,211,SH212,True,0.12
212,212,212,212,SH213,False,0.64
213,213,213,213,SH214,True,0.3
214,214,214,214,SH215,False,0.89
215,215,215,215,SH216,True,0.11
216,216,216,216,SH217,True,0.8
217,217,217,217,SH218,False,0.64
218,218,218,218,SH219,False,0.5
219,219,219,219,SH220,False,0.9
220,220,220,220,SH221,False,0.99
221,221,221,221,SH222,False,0.23
222,222,222,222,SH223,True,0.73
223,223,223,223,SH224,True,0.19
224,224,224,224,SH225,False,0.21
225,225,225,225,SH226,False,0.5
226,226,226,226,SH227,True,0.63
227,227,227,227,SH228,True,0.52
228,228,228,228,SH229,True,0.9
229,229,229,229,SH230,True,0.01
230,230,230,230,SH231,False,0.83
231,231,231,231,SH232,True,0.61
232,232,232,232,SH233,False,0.95
233,233,233,233,SH234,False,0.71
234,234,234,234,SH235,True,0.17
235,235,235,235,SH236,False,0.65
236,236,236,236,SH237,True,0.47
237,237,237,237,SH238,True,0.29
238,238,238,238,SH239,False,0.64
239,239,239,239,SH240,False,0.47
240,240,240,240,SH241,False,0.55
241,241,241,241,SH242,False,0.93
242,242,242,242,SH243,True,0.01
243,243,243,243,SH244,True,0.46
244,244,244,244,SH245,False,1.0
245,245,245,245,SH246,True,0.29
246,246,246,246,SH247,False,0.2
247,247,247,247,SH248,False,0.33
248,248,248,248,SH249,True,0.22
249,249,249,249,SH250,True,0.84
250,250,250,250,SH251,True,0.34
251,251,251,251,SH252,False,1.0
252,252,252,252,SH253,False,0.27
253,253,253,253,SH254,True,0.19
254,254,254,254,SH255,False,0.77
255,255,255,255,SH256,True,0.64
256,256,256,256,SH257,True,0.68
257,257,257,257,SH258,True,0.83
258,258,258,258,SH259,True,0.17
259,259,259,259,SH260,False,0.7
260,260,260,260,SH261,True,0.55
261,261,261,261,SH262,False,0.51
262,262,262,262,SH263,True,0.73
263,263,263,263,SH264,False,0.33
264,264,264,264,SH265,True,0.35
265,265,265,265,SH266,False,0.33
266,266,266,266,SH267,True,0.43
267,267,267,267,SH268,False,0.73
268,268,268,268,SH269,False,0.49
269,269,269,269,SH270,True,0.37
270,270,270,270,SH271,True,0.43
271,271,271,271,SH272,False,0.1
272,272,272,272,SH273,True,0.42
273,273,273,273,SH274,False,0.97
274,274,274,274,SH275,True,0.76
275,275,275,275,SH276,True,0.37
276,276,276,276,SH277,False,0.94
277,277,277,277,SH278,True,0.68
278,278,278,278,SH279,False,0.4
279,279,279,279,SH280,True,0.86
280,280,280,280,SH281,True,0.46
281,281,281,281,SH282,True,0.06
282,282,282,282,SH283,False,0.83
283,283,283,283,SH284,True,0.45
284,284,284,284,SH285,True,0.32
285,285,285,285,SH286,True,0.14
286,286,286,286,SH287,False,0.39
287,287,287,287,SH288,True,0.05
288,288,288,288,SH289,False,0.44
289,289,289,289,SH290,False,0.17
290,290,290,290,SH291,False,0.71
291,291,291,291,SH292,True,0.46
292,292,292,292,SH293,False,0.65
293,293,293,293,SH294,True,0.28
294,294,294,294,SH295,False,0.08
295,295,295,295,SH296,False,0.0
296,296,296,296,SH297,True,0.91
297,297,297,297,SH298,True,0.95
298,298,298,298,SH299,True,0.05
299,299,299,299,SH300,False,0.32
300,300,300,300,SH301,True,0.5
301,301,301,301,SH302,False,0.95
302,302,302,302,SH303,True,0.31
303,303,303,303,SH304,False,0.15
304,304,304,304,SH305,False,0.81
305,305,305,305,SH306,False,0.03
306,306,306,306,SH307,True,0.78
307,307,307,307,SH308,True,0.0
308,308,308,308,SH309,False,0.63
309,309,309,309,SH310,False,0.2
310,310,310,310,SH311,True,0.56
311,311,311,311,SH312,False,0.12
312,312,312,312,SH313,False,0.48
313,313,313,313,SH314,False,0.5
314,314,314,314,SH315,False,0.24
315,315,315,315,SH316,True,0.87
316,316,316,316,SH317,True,0.74
317,317,317,317,SH318,False,0.43
318,318,318,318,SH319,False,0.38
319,319,319,319,SH320,False,0.92
320,320,320,320,SH321,True,0.31
321,321,321,321,SH322,True,0.16
322,322,322,322,SH323,True,0.0
323,323,323,323,SH324,True,0.57
324,324,324,324,SH325,True,0.67
325,325,325,325,SH326,False,0.5
326,326,326,326,SH327,True,0.01
327,327,327,327,SH328,False,0.11
328,328,328,328,SH329,True,0.22
329,329,329,329,SH330,False,0.89
330,330,330,330,SH331,False,0.2
331,331,331,331,SH332,False,0.17
332,332,332,332,SH333,False,0.17
333,333,333,333,SH334,True,0.15
334,334,334,334,SH335,False,0.51
335,335,335,335,SH336,False,0.31
336,336,336,336,SH337,False,0.75
337,337,337,337,SH338,False,0.63
338,338,338,338,SH339,True,0.46
339,339,339,339,SH340,False,0.53
340,340,340,340,SH341,True,0.23
341,341,341,341,SH342,True,0.89
342,342,342,342,SH343,True,0.98
343,343,343,343,SH344,False,0.78
344,344,344,344,SH345,False,0.07
345,345,345,345,SH346,True,0.43
346,346,346,346,SH347,False,0.76
347,347,347,347,SH348,True,0.74
348,348,348,348,SH349,False,0.07
349,349,349,349,SH350,False,0.08
350,350,350,350,SH351,True,0.13
351,351,351,351,SH352,False,0.82
352,352,352,352,SH353,False,0.32
353,353,353,353,SH354,True,0.15
354,354,354,354,SH355,True,0.46
355,355,355,355,SH356,False,0.13
356,356,356,356,SH357,True,0.74
357,357,357,357,SH358,False,0.86
358,358,358,358,SH359,False,0.99
359,359,359,359,SH360,True,0.94
360,360,360,360,SH361,True,0.99
361,361,361,361,SH362,True,0.22
362,362,362,362,SH363,False,0.51
363,363,363,363,SH364,False,0.9
364,364,364,364,SH365,False,0.42
365,365,365,365,SH366,True,0.06
366,366,366,366,SH367,False,0.62
367,367,367,367,SH368,False,0.45
368,368,368,368,SH369,False,0.6
369,369,369,369,SH370,True,0.05
370,370,370,370,SH371,False,0.91
371,371,371,371,SH372,False,0.55
372,372,372,372,SH373,True,0.68
373,373,373,373,SH374,True,0.89
374,374,374,374,SH375,True,0.53
375,375,375,375,SH376,True,0.79
376,376,376,376,SH377,False,0.53
377,377,377,377,SH378,True,0.2
378,378,378,378,SH379,True,0.04
379,379,379,379,SH380,False,0.41
380,380,380,380,SH381,False,0.14
381,381,381,381,SH382,True,0.42
382,382,382,382,SH383,True,0.97
383,383,383,383,SH384,True,0.77
384,384,384,384,SH385,True,0.58
385,385,385,385,SH386,False,0.15
386,386,386,386,SH387,True,0.74
387,387,387,387,SH388,False,0.1
388,388,388,388,SH389,False,0.98
389,389,389,389,SH390,False,0.81
390,390,390,390,SH391,False,0.4
391,391,391,391,SH392,False,0.43
392,392,392,392,SH393,False,0.89
393,393,393,393,SH394,True,0.35
394,394,394,394,SH395,False,0.28
395,395,395,395,SH396,False,0.72
396,396,396,396,SH397,True,0.81
397,397,397,397,SH398,True,0.91
398,398,398,398,SH399,True,0.49
399,399,399,399,SH400,False,0.0
400,400,400,400,SH401,False,0.17
401,401,401,401,SH402,True,0.9
402,402,402,402,SH403,False,0.9
403,403,403,403,SH404,True,0.61
404,404,404,404,SH405,False,0.11
405,405,405,405,SH406,True,0.86
406,406,406,406,SH407,False,0.44
407,407,407,407,SH408,True,0.51
408,408,408,408,SH409,False,0.73
409,409,409,409,SH410,False,0.6
410,410,410,410,SH411,False,0.15
411,411,411,411,SH412,True,0.03
412,412,412,412,SH413,True,0.1
413,413,413,413,SH414,False,0.09
414,414,414,414,SH415,True,0.81
415,415,415,415,SH416,True,0.67
416,416,416,416,SH417,False,0.45
417,417,417,417,SH418,True,0.06
418,418,418,418,SH419,False,0.87
419,419,419,419,SH420,True,0.71
420,420,420,420,SH421,True,0.17
421,421,421,421,SH422,True,0.18
422,422,422,422,SH423,False,0.14
423,423,423,423,SH424,False,0.6
424,424,424,424,SH425,True,0.52
425,425,425,425,SH426,True,0.33
426,426,426,426,SH427,True,0.27
427,427,427,427,SH428,True,0.85
428,428,428,428,SH429,False,0.11
429,429,429,429,SH430,False,0.77
430,430,430,430,SH431,False,0.93
431,431,431,431,SH432,True,0.13
432,432,432,432,SH433,True,0.29
433,433,433,433,SH434,False,0.29
434,434,434,434,SH435,False,0.57
435,435,435,435,SH436,False,0.63
436,436,436,436,SH437,False,0.68
437,437,437,437,SH438,False,0.91
438,438,438,438,SH439,True,0.63
439,439,439,439,SH440,True,0.32
440,440,440,440,SH441,False,0.8
441,441,441,441,SH442,True,0.66
442,442,442,442,SH443,True,0.76
443,443,443,443,SH444,False,0.02
444,444,444,444,SH445,False,0.23
445,445,445,445,SH446,True,0.56
446,446,446,446,SH447,True,0.51
447,447,447,447,SH448,True,0.28
448,448,448,448,SH449,False,0.75
449,449,449,449,SH450,True,0.74
450,450,450,450,SH451,False,0.63
451,451,451,451,SH452,True,0.24
452,452,452,452,SH453,True,0.26
453,453,453,453,SH454,False,0.81
454,454,454,454,SH455,False,0.16
455,455,455,455,SH456,True,0.44
456,456,456,456,SH457,False,0.31
457,457,457,457,SH458,True,0.12
458,458,458,458,SH459,True,0.78
459,459,459,459,SH460,True,0.53
460,460,460,460,SH461,True,0.14
461,461,461,461,SH462,True,0.84
462,462,462,462,SH463,False,0.19
463,463,463,463,SH464,True,0.82
